"Player","Nation","Position","Club","Age","MatchesPlayed","Starts","TotalMinutes","Goals","Assists","xG","xAG","FPLPoints","FPLPrice","WeeklyWages","AnnualWages","Continent"
"Jean-Philippe Mateta","FRA","FW","Crystal Palace",25,10,2,251,1,0,1.2,0.5,13,5.2,53462,2780000,"Europe"
"Joël Matip","CMR","DF","Liverpool",31,4,3,259,0,0,0,0,4,5.9,1e+05,5200000,"Africa"
"Neal Maupay","FRA","FW","Everton",26,8,5,450,1,0,1.6,0.4,20,6.1,50000,2600000,"Europe"
"Kevin Mbabu","SUI","DF","Fulham",27,5,1,133,0,1,0,0.4,7,4.3,NA,NA,"Europe"
"Bryan Mbeumo","CMR","FW","Brentford",23,13,13,967,2,1,2.6,1.3,44,5.8,20000,1040000,"Africa"
"John Mcginn","SCO","MF","Aston Villa",28,13,11,945,0,0,1,0.7,NA,NA,NA,NA,"Europe"
"Scott Mckenna","SCO","DF","Nottingham Forest",25,13,13,1170,0,0,0.1,0.8,NA,NA,NA,NA,"Europe"
"Dwight Mcneil","ENG","FW","Everton",22,13,6,590,2,0,0.5,1.1,NA,NA,NA,NA,"Europe"
"Scott Mctominay","SCO","MF","Manchester Utd",25,11,6,604,0,0,0.4,0.2,NA,NA,NA,NA,"Europe"
"Ben Mee","ENG","DF","Brentford",33,12,12,1028,2,0,1.2,0.1,52,4.6,NA,NA,"Europe"
"Edouard Mendy","SEN","GK","Chelsea",30,7,6,585,0,0,0,0,21,4.8,55000,2860000,"Africa"
"Nampalys Mendy","SEN","MF","Leicester City",30,4,0,128,0,0,0,0,5,4.3,55000,2860000,"Africa"
"Chris Mepham","WAL","DF","Bournemouth",25,13,13,1161,0,0,0.2,0,24,4.4,35000,1820000,"Europe"
"Illan Meslier","FRA","GK","Leeds United",22,12,12,1080,0,0,0,0,43,4.5,21923,1140000,"Europe"
"Alexander Mighten","ENG","MF","Nottingham Forest",20,1,0,8,0,0,0,0,1,4.9,NA,NA,"Europe"
"Luka Milivojević","SRB","MF","Crystal Palace",31,8,2,265,0,0,0.2,0,NA,NA,55000,2860000,"Europe"
"James Milner","ENG","DF","Liverpool",36,11,4,446,0,1,0.3,0.7,19,4.4,60000,3120000,"Europe"
"Yerry Mina","COL","DF","Everton",28,1,1,69,0,0,0,0,1,4.3,120000,6240000,"Americas"
"Tyrone Mings","ENG","DF","Aston Villa",29,11,11,990,0,0,0,0.1,33,4.3,80000,4160000,"Europe"
"Tyrick Mitchell","ENG","DF","Crystal Palace",23,12,10,828,0,2,0,0.5,36,4.5,28846,1500000,"Europe"
"Kaoru Mitoma","JPN","MF","Brighton",25,8,1,225,0,1,0,2.1,23,4.9,NA,NA,"Asia"
"Aleksandar Mitrović","SRB","FW","Fulham",28,12,12,1017,9,0,7.7,1.3,61,6.9,60000,3120000,"Europe"
"Kieffer Moore","WAL","FW","Bournemouth",30,13,6,593,3,0,0.7,0.3,36,5.4,15000,780000,"Europe"
"Mason Mount","ENG","MF","Chelsea",23,12,11,881,2,2,1.5,1.5,51,7.6,80000,4160000,"Europe"
"Lucas Moura","BRA","MF","Tottenham",30,6,0,94,0,0,0.1,0,7,5.8,90000,4680000,"Americas"
"João Moutinho","POR","MF","Wolves",36,11,9,840,0,0,0.8,1.5,22,4.7,1e+05,5200000,"Europe"
